date,text_preview,screen_hours,sleep_hours,burnout_score
2025-12-29 15:17:52,آج میں اچھا محسوس کر رہا ہوں۔ رات کو 7 گھنٹے کی نی...,2.0,9.5,9.16
2025-12-29 15:20:42,آج میں اچھا محسوس کر رہا ہوں۔ رات کو 7 گھنٹے کی نی...,3.5,3.5,25.16
2025-12-29 15:21:16,میں مکمل طور پر ختم ہو چکا ہوں۔ 3 ہفتے سے مسلسل کا...,3.5,3.5,25.12
2025-12-29 15:21:38,Deadlines are approaching and I'm falling behind. ...,3.5,3.5,26.01
2025-12-29 15:24:27,ج میں اچھا محسوس کر رہا ہوں۔ رات کو 7 گھنٹے کی نین...,2.5,5.0,21.14
2025-12-29 15:24:50,I've been working continuously for the past week. ...,2.5,5.0,21.77
2025-12-29 15:25:16,My body has completely shut down. Had to be taken ...,2.5,5.0,21.79
2025-12-29 15:25:39,Deadlines are approaching and I'm falling behind. ...,2.5,5.0,22.11
2025-12-29 15:26:27,SUICIDE IS MY ONLY ESCAPE. I CAN'T TAKE IT ANYMORE...,2.5,5.0,21.64
2025-12-29 15:31:07,یں مکمل طور پر ختم ہو چکا ہوں۔ 3 ہفتے سے مسلسل کام...,6.0,7.0,20.13
